Supercharger,Street Address,City,State,Zip,Country,Stalls,kW,GPS,Elev(m),Status,Open Date,Links
"Mebane, NC",1237 Mebane Oaks Rd,Mebane,NC,27302,USA,8,250,"36.070176, -79.270532",202,OPEN,1/27/2021,gmap | forum | tesla
"Skaidi, Norway",Skaidiplassen,Kvalsund,,9620,Norway,3,250,"70.431958, 24.506893",69,OPEN,1/27/2021,gmap | forum | tesla
"Torrance, CA",3490 Fashion Way,Torrance,CA,90503,USA,20,250,"33.834811, -118.349039",26,OPEN,1/22/2021,gmap | forum | tesla
"Beijing - Zhuozhan Times Department Store, China","Zhuozhan Shopping Center, 69 Fuxing Road, Haidian District",Beijing,Beijing,,China,6,120,"39.918406, 116.282413",57,OPEN,1/22/2021,gmap | forum | tesla
"Guangzhou - South China Automobile Trade City, China","South China Auto Trade Plaza, 1601-1603 South Guangzhou Avenue, Haizhu District",Guangzhou,Guangdong,,China,4,120,"23.076611, 113.319826",1,OPEN,1/22/2021,gmap | forum | tesla
"Guangzhou - Zhihui Park, China","Zhongsen Shibohui, No. 6 Bohui Street, Guangyuan East Road, Tianhe District",Guangzhou,Guangdong,,China,10,120,"23.147219, 113.382671",19,OPEN,1/22/2021,gmap | forum | tesla
"Cangzhou - Golden Lion International Hotel, China","Cangzhou Golden Lion International Hotel, No.18 Yingbin Avenue",Cangzhou,Hebei,,China,4,120,"38.310492, 116.819753",13,OPEN,1/22/2021,gmap | forum | tesla
"Changsha - Sunstar City, China","Sunstar City, No.699 Qingzhuhu Avenue, Kaifu District",Changsha,Hunan,,China,6,120,"28.353669, 112.986119",63,OPEN,1/22/2021,gmap | forum | tesla
"Zhoushan - Haizhongzhou International Hotel, China","Haizhongzhou International Hotel, No.338 Donggang Xingpu Avenue, Putuo District",Zhoushan,Zhejiang,,China,4,120,"29.972572, 122.32252",0,OPEN,1/22/2021,gmap | forum | tesla
"Changsha - Haobska Hotel, China","Haobska Hotel, No.198 Xiangfu Road, Tianxin District",Changsha,Hunan,,China,4,120,"28.118471, 113.002371",76,OPEN,1/22/2021,gmap | forum | tesla
"Hangzhou - Europe and America Center, China","Occident Center South Rd, No.18 Jiaogong Rd",Hangzhou,Zhejiang,,China,12,250,"30.279558, 120.143642",18,OPEN,1/22/2021,gmap | forum | tesla
"Wuxi - Wuxi World Trade Center, China","Wuxi World Trade Center, 68 Taihu East Avenue",Wuxi,Jiangsu,,China,4,120,"31.559952, 120.315698",7,OPEN,1/22/2021,gmap | forum | tesla
Dalian - Fisherman’s Wharf. China,"Fisherman's Wharf, 66 Binhai East Road, Zhongshan District",Dalian,Liaoning,,China,4,120,"38.882793, 121.692027",90,OPEN,1/22/2021,gmap | forum | tesla
"Hangzhou - Guigu International Center, China","2nd Floor, Underground Parking Lot, Guigu International Center, 2000 Xinbei Rd",Hangzhou,Zhejiang,,China,6,120,"30.241554, 120.263024",13,OPEN,1/22/2021,gmap | forum | tesla
"Xi'an - Taihua Jinmao International, China","Taihua Jinmao International, intersection of Fenghui South Road and Keji 2nd Road, Yanta District",Xi'an,Shaanxi,,China,6,120,"34.230591, 108.894146",410,OPEN,1/22/2021,gmap | forum | tesla
"Chengdu - Yanlord Land Plaza, China","Zone 3, Floor 3, Underground Parking Lot, Yanlord Land Plaza, No. 1, Section 2, Renmin South Road",Chengdu,Sichuan,,China,6,120,"30.657641, 104.073464",505,OPEN,1/22/2021,gmap | forum | tesla
"Leshan - Emeishan Hongzhushan Hotel, China","Parking lot of Building 7, Hongzhushan Hotel, Baoguo Temple Scenic Area, Emeishan City",Leshan,Sichuan,,China,4,120,"29.569053, 103.451858",493,OPEN,1/22/2021,gmap | forum | tesla
"Tianjin - Wisdom Mountain Virtual Industrial Park, China","Wisdom Mountain Virtual Industrial Park, Gonghua Road and Rongyuan Road, Xiqing District",Tianjin,Tianjin,,China,4,120,"39.099381, 117.126363",4,OPEN,1/22/2021,gmap | forum | tesla
"Shaoxing - Tianyuan International, China","Tianyuan International at the intersection of Yundong Road and Meilonghu Road, Yuecheng District",Shaoxing,Zhejiang,,China,6,120,"30.006245, 120.609766",5,OPEN,1/22/2021,gmap | forum | tesla
"Hangzhou - Chengbei Sports Park, China *","Chengbei Sports Park, No.129 Baishi Road, Xiacheng District",Hangzhou,Zhejiang,,China,8,120,"30.319473, 120.171229",11,OPEN,1/22/2021,gmap | forum
"Nanjing - Huabo Smart Park, China *","Huabo Smart Park, No.17 Huashen Avenue, Yuhuatai District",Nanjing,Jiangsu,,China,2,120,"31.980275, 118.781667",14,OPEN,1/22/2021,gmap | forum | tesla
"Nanjing - Fengsheng Shanghui, China *","Fengsheng Shanghui, No.119 Software Avenue, Yuhuatai District",Nanjing,Jiangsu,,China,6,120,"31.981574, 118.767322",36,OPEN,1/22/2021,gmap | forum
"Jinan - Times Headquarters Base, China *","Times Headquarters Base, No. 15 Lanxiang Road, Tianqiao District",Jinan,Shandong,,China,6,120,"36.713286, 116.963366",29,OPEN,1/22/2021,gmap | forum
"Kunming - Caiyunli, China","Floor B2, Caiyunli Underground Parking Lot, No. 97 Shulin Street, Xishan District",Kunming,Yunnan,,China,8,120,"25.032645, 102.718044",1895,OPEN,1/22/2021,gmap | forum | tesla
"Shenzhen - InterContinental Hotel, China","9009 Shennan Avenue, Overseas Chinese Town",Shenzhen,Guangdong,,China,8,120,"22.539001, 113.991186",13,OPEN,1/22/2021,gmap | forum | tesla
"Shanghai - Guanghe Xinzuo, China","Area E, Floor B1, Ground Floor, 1559 Pudong Avenue, Pudong New Area",Shanghai,Shanghai,,China,8,120,"31.250775, 121.545518",10,OPEN,1/22/2021,gmap | forum | tesla
"Shanghai - Aegean Shopping Park, China","Area M, Floor 3, Underground Parking Lot, Shanghai Aegean Shopping Park, 1588 Wuzhong Rd",Shanghai,Shanghai,,China,8,120,"31.180355, 121.379942",9,OPEN,1/22/2021,gmap | forum | tesla
