,country,city,status,open_date,lat,long
0,USA,Mebane,OPEN,2021-01-27,36.070176,-79.270532
1,Norway,Kvalsund,OPEN,2021-01-27,70.431958,24.506893
2,USA,Torrance,OPEN,2021-01-22,33.834811,-118.349039
3,China,Beijing,OPEN,2021-01-22,39.918406,116.282413
4,China,Guangzhou,OPEN,2021-01-22,23.076611,113.319826
5,China,Guangzhou,OPEN,2021-01-22,23.147219,113.382671
6,China,Cangzhou,OPEN,2021-01-22,38.310492,116.819753
7,China,Changsha,OPEN,2021-01-22,28.353669,112.986119
8,China,Zhoushan,OPEN,2021-01-22,29.972572,122.32252
9,China,Changsha,OPEN,2021-01-22,28.118471,113.002371
10,China,Hangzhou,OPEN,2021-01-22,30.279558,120.143642
11,China,Wuxi,OPEN,2021-01-22,31.559952,120.315698
12,China,Dalian,OPEN,2021-01-22,38.882793,121.692027
13,China,Hangzhou,OPEN,2021-01-22,30.241554,120.263024
14,China,Xi'an,OPEN,2021-01-22,34.230591,108.894146
15,China,Chengdu,OPEN,2021-01-22,30.657641,104.073464
16,China,Leshan,OPEN,2021-01-22,29.569053,103.451858
17,China,Tianjin,OPEN,2021-01-22,39.099381,117.126363
18,China,Shaoxing,OPEN,2021-01-22,30.006245,120.609766
19,China,Hangzhou,OPEN,2021-01-22,30.319473,120.171229
20,China,Nanjing,OPEN,2021-01-22,31.980275,118.781667
21,China,Nanjing,OPEN,2021-01-22,31.981574,118.767322
22,China,Jinan,OPEN,2021-01-22,36.713286,116.963366
23,China,Kunming,OPEN,2021-01-22,25.032645,102.718044
24,China,Shenzhen,OPEN,2021-01-22,22.539001,113.991186
25,China,Shanghai,OPEN,2021-01-22,31.250775,121.545518
26,China,Shanghai,OPEN,2021-01-22,31.180355,121.379942
27,China,Shanghai,OPEN,2021-01-22,31.405354,121.49185
28,China,Beijing,OPEN,2021-01-22,40.000287,116.463298
29,China,Beijing,OPEN,2021-01-22,40.133427,116.615275
30,China,Beijing,OPEN,2021-01-22,39.692635,116.326798
31,China,Beijing,OPEN,2021-01-22,39.930414,116.606086
32,China,Beijing,OPEN,2021-01-22,39.946298,116.438603
33,China,Beijing,OPEN,2021-01-22,40.013789,116.396086
34,China,Beijing,OPEN,2021-01-22,39.91488,116.481841
35,China,Beijing,OPEN,2021-01-22,39.915712,116.379579
36,China,Shanghai,OPEN,2021-01-22,31.228966,121.45445
37,China,Hangzhou,OPEN,2021-01-22,30.134052,120.089615
38,China,Nanjing,OPEN,2021-01-22,32.008454,118.731297
39,China,Zhengzhou,OPEN,2021-01-22,34.763696,113.776627
40,China,Guiyang,OPEN,2021-01-22,26.61127,106.726772
41,China,Shenzhen,OPEN,2021-01-22,22.718168,113.861517
42,China,Haikou,OPEN,2021-01-22,19.992449,110.34916
43,China,Chengdu,OPEN,2021-01-22,30.488587,104.101148
