,country,date,close
0,USA,2021-01-22,846.64
1,China,2021-01-22,846.64
2,China,2021-01-22,846.64
3,China,2021-01-22,846.64
4,China,2021-01-22,846.64
5,China,2021-01-22,846.64
6,China,2021-01-22,846.64
7,China,2021-01-22,846.64
8,China,2021-01-22,846.64
9,China,2021-01-22,846.64
10,China,2021-01-22,846.64
11,China,2021-01-22,846.64
12,China,2021-01-22,846.64
13,China,2021-01-22,846.64
14,China,2021-01-22,846.64
15,China,2021-01-22,846.64
16,China,2021-01-22,846.64
17,China,2021-01-22,846.64
18,China,2021-01-22,846.64
19,China,2021-01-22,846.64
20,China,2021-01-22,846.64
21,China,2021-01-22,846.64
22,China,2021-01-22,846.64
23,China,2021-01-22,846.64
24,China,2021-01-22,846.64
25,China,2021-01-22,846.64
26,China,2021-01-22,846.64
27,China,2021-01-22,846.64
28,China,2021-01-22,846.64
29,China,2021-01-22,846.64
30,China,2021-01-22,846.64
31,China,2021-01-22,846.64
32,China,2021-01-22,846.64
33,China,2021-01-22,846.64
34,China,2021-01-22,846.64
35,China,2021-01-22,846.64
36,China,2021-01-22,846.64
37,China,2021-01-22,846.64
38,China,2021-01-22,846.64
39,China,2021-01-22,846.64
40,China,2021-01-22,846.64
41,China,2021-01-22,846.64
42,China,2021-01-22,846.64
43,China,2021-01-22,846.64
44,China,2021-01-22,846.64
45,China,2021-01-22,846.64
46,China,2021-01-22,846.64
47,China,2021-01-22,846.64
48,China,2021-01-22,846.64
49,China,2021-01-22,846.64
50,China,2021-01-22,846.64
51,China,2021-01-22,846.64
52,China,2021-01-22,846.64
53,China,2021-01-22,846.64
54,China,2021-01-22,846.64
55,China,2021-01-22,846.64
56,China,2021-01-22,846.64
57,China,2021-01-22,846.64
58,China,2021-01-22,846.64
59,China,2021-01-22,846.64
60,China,2021-01-22,846.64
61,China,2021-01-22,846.64
62,China,2021-01-22,846.64
63,China,2021-01-22,846.64
64,China,2021-01-22,846.64
65,China,2021-01-22,846.64
66,China,2021-01-22,846.64
67,China,2021-01-22,846.64
68,China,2021-01-22,846.64
69,China,2021-01-22,846.64
70,China,2021-01-22,846.64
71,China,2021-01-22,846.64
72,China,2021-01-22,846.64
73,Canada,2021-01-21,844.99
74,Taiwan,2021-01-20,850.45
75,Taiwan,2021-01-20,850.45
76,USA,2021-01-20,850.45
77,Canada,2021-01-15,826.16
78,USA,2021-01-15,826.16
79,USA,2021-01-14,845.0
80,USA,2021-01-07,816.04
81,France,2021-01-07,816.04
82,USA,2021-01-06,755.98
83,USA,2020-12-31,705.67
84,USA,2020-12-31,705.67
85,China,2020-12-30,694.78
86,USA,2020-12-30,694.78
87,Germany,2020-12-24,661.77
88,United Arab Emirates,2020-12-24,661.77
89,USA,2020-12-24,661.77
90,China,2020-12-23,645.98
91,USA,2020-12-23,645.98
92,Germany,2020-12-23,645.98
93,China,2020-12-23,645.98
94,USA,2020-12-23,645.98
95,Germany,2020-12-23,645.98
96,USA,2020-12-22,640.34
97,Austria,2020-12-22,640.34
98,Germany,2020-12-22,640.34
99,USA,2020-12-18,695.0
100,France,2020-12-18,695.0
101,Australia,2020-12-18,695.0
102,USA,2020-12-18,695.0
103,Germany,2020-12-18,695.0
104,USA,2020-12-18,695.0
105,Norway,2020-12-17,655.9
106,Italy,2020-12-17,655.9
107,USA,2020-12-17,655.9
108,United Kingdom,2020-12-17,655.9
109,USA,2020-12-16,622.77
110,United Kingdom,2020-12-16,622.77
