,country,date,close,index1
0,USA,2021-01-22,846.64,0
1,China,2021-01-22,846.64,1
2,China,2021-01-22,846.64,2
3,China,2021-01-22,846.64,3
4,China,2021-01-22,846.64,4
5,China,2021-01-22,846.64,5
6,China,2021-01-22,846.64,6
7,China,2021-01-22,846.64,7
8,China,2021-01-22,846.64,8
9,China,2021-01-22,846.64,9
10,China,2021-01-22,846.64,10
11,China,2021-01-22,846.64,11
12,China,2021-01-22,846.64,12
13,China,2021-01-22,846.64,13
14,China,2021-01-22,846.64,14
15,China,2021-01-22,846.64,15
16,China,2021-01-22,846.64,16
17,China,2021-01-22,846.64,17
18,China,2021-01-22,846.64,18
19,China,2021-01-22,846.64,19
20,China,2021-01-22,846.64,20
21,China,2021-01-22,846.64,21
22,China,2021-01-22,846.64,22
23,China,2021-01-22,846.64,23
24,China,2021-01-22,846.64,24
25,China,2021-01-22,846.64,25
26,China,2021-01-22,846.64,26
27,China,2021-01-22,846.64,27
28,China,2021-01-22,846.64,28
29,China,2021-01-22,846.64,29
30,China,2021-01-22,846.64,30
31,China,2021-01-22,846.64,31
32,China,2021-01-22,846.64,32
33,China,2021-01-22,846.64,33
34,China,2021-01-22,846.64,34
35,China,2021-01-22,846.64,35
36,China,2021-01-22,846.64,36
37,China,2021-01-22,846.64,37
38,China,2021-01-22,846.64,38
39,China,2021-01-22,846.64,39
40,China,2021-01-22,846.64,40
41,China,2021-01-22,846.64,41
42,China,2021-01-22,846.64,42
43,China,2021-01-22,846.64,43
44,China,2021-01-22,846.64,44
45,China,2021-01-22,846.64,45
46,China,2021-01-22,846.64,46
47,China,2021-01-22,846.64,47
48,China,2021-01-22,846.64,48
49,China,2021-01-22,846.64,49
50,China,2021-01-22,846.64,50
51,China,2021-01-22,846.64,51
52,China,2021-01-22,846.64,52
53,China,2021-01-22,846.64,53
54,China,2021-01-22,846.64,54
55,China,2021-01-22,846.64,55
56,China,2021-01-22,846.64,56
57,China,2021-01-22,846.64,57
58,China,2021-01-22,846.64,58
59,China,2021-01-22,846.64,59
60,China,2021-01-22,846.64,60
61,China,2021-01-22,846.64,61
